@relation trainWithWeather
@attribute Id numeric
@attribute Date date "yyyy-MM-dd"
@attribute NearestStation numeric
@attribute Year {'2007','2008','2009','2010','2011','2012','2013','2014'}
@attribute Month {'05','06','07','08','09','10'}
@attribute Week {'21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40'}
@attribute "SpeciesCULEX ERRATICUS" numeric
@attribute "SpeciesCULEX PIPIENS" numeric
@attribute "SpeciesCULEX PIPIENS/RESTUANS" numeric
@attribute "SpeciesCULEX RESTUANS" numeric
@attribute "SpeciesCULEX SALINARIUS" numeric
@attribute "SpeciesCULEX TARSALIS" numeric
@attribute "SpeciesCULEX TERRITANS" numeric
@attribute "SpeciesUNSPECIFIED CULEX" numeric
@attribute Species {'CULEX ERRATICUS','CULEX PIPIENS','CULEX PIPIENS/RESTUANS','CULEX RESTUANS','CULEX SALINARIUS','CULEX TARSALIS','CULEX TERRITANS','UNSPECIFIED CULEX'}
@attribute Trap {'T001','T002','T003','T004','T005','T006','T007','T008','T009','T011','T012','T013','T014','T015','T016','T017','T018','T019','T025','T027','T028','T030','T031','T033','T034','T035','T036','T037','T039','T040','T043','T044','T045','T046','T047','T048','T049','T050','T051','T054','T054C','T060','T061','T062','T063','T065','T066','T067','T069','T070','T071','T072','T073','T074','T075','T076','T077','T078','T079','T080','T081','T082','T083','T084','T085','T086','T088','T089','T090','T091','T092','T094','T094B','T095','T096','T097','T099','T100','T102','T103','T107','T114','T115','T128','T129','T135','T138','T141','T142','T143','T144','T145','T146','T147','T148','T149','T150','T151','T152','T153','T154','T155','T156','T157','T158','T159','T160','T161','T162','T200','T206','T209','T212','T215','T218','T219','T220','T221','T222','T223','T224','T225','T226','T227','T228','T229','T230','T231','T232','T233','T235','T236','T237','T238','T900','T903','T002A','T002B','T065A','T090A','T090B','T090C','T128A','T200A','T200B','T218A','T218B','T218C','T234'}
@attribute Latitude numeric
@attribute Longitude numeric
@attribute Station1DistKm numeric
@attribute Station2DistKm numeric
@attribute Tmax numeric
@attribute Tmin numeric
@attribute Tavg numeric
@attribute AvgSpeed numeric
@attribute WnvPresent {'No','Yes'}
@data
0,'2007-05-29',1,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T002',41.95469,-87.800991,11.8106074555342,19.2126000337684,88,60,74,6.5,'No'
0,'2007-05-29',1,'2007','05','21',0,0,0,1,0,0,0,0,'CULEX RESTUANS','T002',41.95469,-87.800991,11.8106074555342,19.2126000337684,88,60,74,6.5,'No'
0,'2007-05-29',1,'2007','05','21',0,0,0,1,0,0,0,0,'CULEX RESTUANS','T007',41.994991,-87.769279,13.5451289950917,23.308794459989,88,60,74,6.5,'No'
0,'2007-05-29',1,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T015',41.974089,-87.824812,9.24988248153278,21.7903107867677,88,60,74,6.5,'No'
0,'2007-05-29',1,'2007','05','21',0,0,0,1,0,0,0,0,'CULEX RESTUANS','T015',41.974089,-87.824812,9.24988248153278,21.7903107867677,88,60,74,6.5,'No'
0,'2007-05-29',1,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T148',42.01743,-87.687769,20.4382081361644,26.306589142602,88,60,74,6.5,'No'
0,'2007-05-29',1,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T143',41.999129,-87.795585,11.3776737408646,23.9987416942197,88,60,74,6.5,'No'
0,'2007-05-29',2,'2007','05','21',0,0,0,1,0,0,0,0,'CULEX RESTUANS','T046',41.891118,-87.654491,25.7977182147396,14.2242419411088,88,65,77,7.4,'No'
0,'2007-05-29',2,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T048',41.867108,-87.654224,27.1238472874446,12.1368897334265,88,65,77,7.4,'No'
0,'2007-05-29',2,'2007','05','21',0,0,0,1,0,0,0,0,'CULEX RESTUANS','T045',41.9216,-87.666455,23.5290606570813,16.6783790388524,88,65,77,7.4,'No'
0,'2007-05-29',2,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T050',41.919343,-87.694259,21.4831807775125,15.596706110193,88,65,77,7.4,'No'
0,'2007-05-29',2,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T054',41.921965,-87.632085,26.2030859238552,18.109271052868,88,65,77,7.4,'No'
0,'2007-05-29',2,'2007','05','21',0,0,0,1,0,0,0,0,'CULEX RESTUANS','T054',41.921965,-87.632085,26.2030859238552,18.109271052868,88,65,77,7.4,'No'
0,'2007-05-29',2,'2007','05','21',0,0,1,0,0,0,0,0,'CULEX PIPIENS/RESTUANS','T086',41.688324,-87.676709,40.2148248205613,12.5436306767541,88,65,77,7.4,'No'
0,'2007-05-29',2,'2007','05','21',0,0,0,1,0,0,0,0,'CULEX RESTUANS','T086',41.688324,-87.676709,40.2148248205613,12.5436306767541,88,65,77,7.4,'No'
