"","Id","Date","NearestStation","Year","Month","Week","SpeciesCULEX ERRATICUS","SpeciesCULEX PIPIENS","SpeciesCULEX PIPIENS/RESTUANS","SpeciesCULEX RESTUANS","SpeciesCULEX SALINARIUS","SpeciesCULEX TARSALIS","SpeciesCULEX TERRITANS","SpeciesUNSPECIFIED CULEX","Species","Trap","Latitude","Longitude","Station1DistKm","Station2DistKm","Tmax","Tmin","Tavg","AvgSpeed","WnvPresent"
"1",0,2007-05-29,1,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T002",41.95469,-87.800991,11.8106074555342,19.2126000337684,88,60,74,6.5,"No"
"2",0,2007-05-29,1,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T002",41.95469,-87.800991,11.8106074555342,19.2126000337684,88,60,74,6.5,"No"
"3",0,2007-05-29,1,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T007",41.994991,-87.769279,13.5451289950917,23.308794459989,88,60,74,6.5,"No"
"4",0,2007-05-29,1,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T015",41.974089,-87.824812,9.24988248153278,21.7903107867677,88,60,74,6.5,"No"
"5",0,2007-05-29,1,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T015",41.974089,-87.824812,9.24988248153278,21.7903107867677,88,60,74,6.5,"No"
"6",0,2007-05-29,1,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T148",42.01743,-87.687769,20.4382081361644,26.306589142602,88,60,74,6.5,"No"
"7",0,2007-05-29,1,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T143",41.999129,-87.795585,11.3776737408646,23.9987416942197,88,60,74,6.5,"No"
"8",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T046",41.891118,-87.654491,25.7977182147396,14.2242419411088,88,65,77,7.4,"No"
"9",0,2007-05-29,2,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T048",41.867108,-87.654224,27.1238472874446,12.1368897334265,88,65,77,7.4,"No"
"10",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T045",41.9216,-87.666455,23.5290606570813,16.6783790388524,88,65,77,7.4,"No"
"11",0,2007-05-29,2,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T050",41.919343,-87.694259,21.4831807775125,15.596706110193,88,65,77,7.4,"No"
"12",0,2007-05-29,2,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T054",41.921965,-87.632085,26.2030859238552,18.109271052868,88,65,77,7.4,"No"
"13",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T054",41.921965,-87.632085,26.2030859238552,18.109271052868,88,65,77,7.4,"No"
"14",0,2007-05-29,2,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T086",41.688324,-87.676709,40.2148248205613,12.5436306767541,88,65,77,7.4,"No"
"15",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T086",41.688324,-87.676709,40.2148248205613,12.5436306767541,88,65,77,7.4,"No"
"16",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T091",41.862292,-87.64886,27.7850050081703,12.0553588676147,88,65,77,7.4,"No"
"17",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T094",41.720848,-87.666014,37.7011699991629,10.1780522347917,88,65,77,7.4,"No"
"18",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T096",41.731922,-87.677512,36.142510980176,8.63128135590894,88,65,77,7.4,"No"
"19",0,2007-05-29,2,"2007","05","21",0,1,0,0,0,0,0,0,"CULEX PIPIENS","T096",41.731922,-87.677512,36.142510980176,8.63128135590894,88,65,77,7.4,"No"
"20",0,2007-05-29,2,"2007","05","21",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T129",41.891126,-87.61156,29.0187002890233,16.5110633882888,88,65,77,7.4,"No"
"21",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T129",41.891126,-87.61156,29.0187002890233,16.5110633882888,88,65,77,7.4,"No"
"22",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T048",41.867108,-87.654224,27.1238472874446,12.1368897334265,88,65,77,7.4,"No"
"23",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T049",41.896282,-87.655232,25.488989623505,14.6668885444995,88,65,77,7.4,"No"
"24",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T153",41.907645,-87.760886,17.2512015357307,13.5614935661725,88,65,77,7.4,"No"
"25",0,2007-05-29,2,"2007","05","21",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T159",41.732984,-87.649642,37.4510016824517,10.3476683721793,88,65,77,7.4,"No"
"26",0,2007-06-05,1,"2007","06","22",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T002",41.95469,-87.800991,11.8106074555342,19.2126000337684,64,47,56,7.6,"No"
"27",0,2007-06-05,1,"2007","06","22",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T002",41.95469,-87.800991,11.8106074555342,19.2126000337684,64,47,56,7.6,"No"
"28",0,2007-06-05,1,"2007","06","22",0,1,0,0,0,0,0,0,"CULEX PIPIENS","T002",41.95469,-87.800991,11.8106074555342,19.2126000337684,64,47,56,7.6,"No"
"29",0,2007-06-05,1,"2007","06","22",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T015",41.974089,-87.824812,9.24988248153278,21.7903107867677,64,47,56,7.6,"No"
"30",0,2007-06-05,1,"2007","06","22",0,0,0,1,0,0,0,0,"CULEX RESTUANS","T015",41.974089,-87.824812,9.24988248153278,21.7903107867677,64,47,56,7.6,"No"
"31",0,2007-06-05,1,"2007","06","22",0,0,1,0,0,0,0,0,"CULEX PIPIENS/RESTUANS","T146",41.958271,-87.702575,19.5026460705565,19.6098698378421,64,47,56,7.6,"No"
